earnings,gender,age,region,education
20.67307663,male,31,South,14
24.27884674,male,50,South,12
10.14957237,male,36,South,12
8.894230843,female,33,South,10
6.410256386,female,56,South,10
16.66666603,female,52,South,12
34.61538315,male,30,West,16
11.05769253,male,41,South,12
19.23077011,male,37,South,13
12.01923084,female,44,South,13
10.20408154,female,47,South,8
10.09615421,female,53,South,11
16.34615326,male,55,South,12
45.78754425,female,59,Northeast,19
19.23077011,female,30,Northeast,16
31.73077011,male,46,Northeast,16
16.70040512,female,46,Northeast,12
27.88461494,female,48,Northeast,16
17.30769157,male,46,Northeast,14
10,female,52,Northeast,12
22.11538506,female,36,Northeast,13
33.65384674,female,48,Northeast,12
32.69230652,male,37,Northeast,12
35.7142868,female,41,Northeast,18
11.53846169,female,56,Northeast,12
24.03846169,female,41,Northeast,13
12.59615421,male,53,Northeast,14
16.92307663,female,49,Northeast,16
21.63461494,male,45,Northeast,13
19.23077011,male,36,Northeast,12
3.605769157,female,23,Northeast,13
33.65384674,male,46,Northeast,18
30.28846169,male,41,Northeast,16
10.81730747,male,23,Northeast,12
24.03846169,male,23,Northeast,12
29.80769157,male,46,South,12
10.8805666,female,56,South,13
26.44230843,male,58,South,12
30.21977997,female,45,South,12
4.39560461,female,21,South,13
15.68825912,female,43,South,14
24.29149818,female,54,South,12
25,male,38,South,13
50.48077011,male,42,South,16
17.30769157,female,41,South,18
47.59615326,male,40,South,20
14.42307663,female,41,South,16
13.73626328,female,30,Midwest,12
14.42307663,female,61,South,13
14.42307663,male,45,South,12
30.28846169,male,44,South,12
19.23077011,female,55,South,16
16.82692337,female,62,South,18
15.38461494,female,48,South,12
2.884615421,male,62,South,14
13.94230747,female,30,South,13
32.21154022,female,61,South,12
12.30769253,male,23,Midwest,16
19.23077011,male,25,Northeast,16
28.22115326,male,24,Northeast,16
45.67307663,male,42,South,18
16.82692337,female,28,South,18
38.46154022,female,32,South,16
29.9145298,female,41,South,19
33.65384674,male,33,South,16
33.21678162,male,42,South,16
34.61538315,male,32,Northeast,19
49.03845978,female,42,South,20
45.38461685,male,40,South,20
34.13461685,female,63,South,16
